x,y
-0.39820266,0.6735936
0.35108137,1.226337
-0.45025486,0.5572558
-0.35497963,0.56491077
-0.2913434,0.86857635
-0.24821317,0.8207049
-0.2122767,0.6858244
0.4015079,1.6607769
0.06097138,0.9670288
0.04730344,0.9848576
0.08156854,0.9221047
-0.4514588,0.6045511
0.25440675,1.3884573
0.46088356,1.610977
-0.41504157,0.56953007
0.35160518,1.5830338
-0.38182747,0.5884814
-0.33952588,0.4846462
0.31250435,1.4447192
0.34406585,1.4704071
0.055780947,0.9749451
0.2432546,1.2354032
0.40549493,1.6034573
-0.00920862,1.0540097
0.26461,1.3090076
0.4697423,1.6022756
0.13815099,1.2190543
0.1348238,1.1100287
0.47001112,1.6460804
0.3144393,1.5578531
-0.20159894,0.7765173
0.28261006,1.2672461
0.106493354,1.0869908
-0.49059367,0.5469208
-0.23051906,0.976864
0.49068272,1.5778261
-0.42435914,0.5302896
0.39192188,1.4672607
-0.07966447,0.83344024
0.4056598,1.460845
-0.47771126,0.6883967
0.26500612,1.3102638
0.31934822,1.3811656
0.38767558,1.5828537
-0.15187025,0.7428058
-0.4067406,0.64812994
-0.043704987,1.0083832
-0.37050897,0.73380214
0.34066164,1.5716976
-0.19804555,0.8433444
0.11851847,1.2503823
-0.30557144,0.7127
-0.204768,0.5825988
0.24557817,1.3248005
0.38227797,1.6037141
-0.12607372,0.7941181
0.39197183,1.4909375
-0.4074502,0.7126579
-0.39741635,0.62122214
-0.26639104,0.789012
0.11219251,1.0966773
0.08385438,1.0466377
-0.38113064,0.7925691
-0.15655345,0.9429144
-0.4931389,0.62672025
-0.116814435,0.967913
-0.23377544,0.631484
0.029751897,1.004781
0.14473611,1.1066437
-0.33696556,0.67567754
0.040915728,0.96829164
-0.3467461,0.8357582
0.3946507,1.550289
-0.08321315,0.7348503
-0.30255193,0.7575703
0.45897847,1.6389432
0.011506557,0.9369204
0.21115983,1.1299417
0.32612002,1.4023658
-0.048988223,0.88251835
-0.26088715,0.7385302
0.24964947,1.393162
-0.19367433,0.7543319
0.095068514,1.349671
0.05510062,0.9448307
0.12000662,1.2548691
0.0013523102,1.2084104
-0.28771245,0.9090084
0.44894826,1.5317531
0.15863311,1.1478226
0.3783763,1.409813
-0.09261674,0.9740859
0.37338197,1.4076581
-0.46348292,0.5681429
-0.4089412,0.6957977
0.45182556,1.5113527
-0.45222223,0.6824824
-0.19015491,1.0153179
-0.17273617,0.85389966
0.29468846,1.3471198
-0.13104892,0.8229514
0.008209944,1.0569615
0.3479215,1.3936175
0.4142105,1.4495608
0.11293709,1.1931802
0.22994673,1.225025
0.11048174,1.0756853
0.12288159,0.98313606
0.11618453,0.91293025
0.4944405,1.6829691
0.39894772,1.4288298
0.30156976,1.2646966
0.083714664,1.1918831
-0.07468313,0.8520967
0.44122648,1.7019979
0.2137835,1.1935241
-0.2968043,0.67363787
0.15648037,1.2467526
-0.3899603,0.9226612
-0.06976557,0.7938192
-0.27863258,0.79007816
-0.39401942,0.7962943
0.35718775,1.4536003
0.1111477,1.0243658
-0.15650511,0.77438915
-0.10445398,0.74000704
0.3001334,1.346751
-0.29029977,0.72678035
0.023127377,0.87731427
0.15151554,1.117176
0.4642297,1.5278996
-0.39339447,0.687003
-0.29467434,0.81064117
-0.16483486,0.7613063
-0.025460243,1.13004
-0.3179505,0.72389865
0.33775306,1.2860177
0.11372572,1.0628157
-0.39596343,0.7162741
-0.09865183,0.8862119
-0.2424668,0.8672099
-0.22056967,0.8289172
-0.2712747,0.77319056
0.05493307,0.87005734
0.09486854,1.1703877
0.08691394,1.0100056
0.2633562,1.2806315
-0.4733494,0.61302674
-0.16252261,1.0172893
-0.46876252,0.54284346
-0.37385976,0.669098
-0.48591137,0.52457774
-0.25415623,0.90033513
0.30558842,1.5123823
0.48558438,1.6356832
-0.013234198,0.88718045
0.43282592,1.4320065
0.105495155,1.101051
0.29777056,1.4594523
-0.41161007,0.69854903
0.19347012,1.196091
-0.3086483,0.7054641
-0.41602534,0.5685474
-0.30973554,0.8705782
-0.039705336,0.9119238
0.18241394,1.1589859
-0.2516743,0.79978836
0.49578083,1.59737
0.32398695,1.4964083
0.2650141,1.2000227
0.08275926,0.995831
0.027053893,1.0844328
0.107456446,1.2179657
0.18364626,1.2270015
-0.32585943,0.7092215
-0.37009406,0.5946154
0.1233387,1.0988793
0.1735757,1.3215567
0.012440145,1.0204197
-0.12578392,1.0073128
0.21752453,1.0311973
-0.007538557,0.9395012
0.27390617,1.2079673
-0.3521757,0.7055912
-0.20627505,0.87780195
-0.39306998,0.64574236
0.07392937,1.2667657
-0.37684935,0.7578776
-0.23054785,0.7336173
0.29209173,1.3098643
-0.15174693,0.9805236
0.3576041,1.7293284
0.41487807,1.4493979
0.47332835,1.6511681
0.23364347,1.3016732
-0.42623,0.7583146
-0.023243308,1.1422671
0.029387772,1.0574352
-0.22701073,0.7386382
0.34044677,1.4482142
0.46496683,1.4837965
-0.25382113,0.73303765
0.26790798,1.1505632
0.06306827,0.9769975
0.08897084,1.0314515
-0.26638794,0.6664212
0.2966236,1.340374
-0.19869417,0.8616351
-0.36956996,0.71644896
0.156533,1.3199086
-0.22624815,0.63050437
-0.270611,0.93889636
0.24925953,1.4230614
0.0127283335,1.1184494
-0.21992445,0.6881095
0.23648697,1.2491813
0.045028985,0.86059
0.21543926,1.50681
-0.22778201,0.8529838
-0.21178263,0.8267583
0.3338645,1.4648223
0.03045857,1.0699458
0.24412137,1.3001243
0.027599812,0.99722457
0.17444634,1.3306298
-0.1521473,0.9264827
-0.48978865,0.48955163
-0.12562203,0.91612226
0.4215861,1.4606607
-0.45522803,0.8405118
-0.31793934,0.72819656
-0.4893633,0.68267596
0.113264024,1.2555417
-0.37378913,0.7670031
-0.48248047,0.701601
0.14927495,1.1315949
0.14534265,1.251509
-0.38192803,0.77199775
0.47043937,1.6338912
0.075562656,1.0866082
0.4526949,1.537974
0.4108894,1.5819646
0.14987004,1.2435752
0.16867113,1.1718053
0.22833592,1.2606788
-0.19842488,0.8321181
0.20559138,1.3521367
0.38479745,1.6581279
-0.15703446,0.81318736
-0.23515606,0.7958834
-0.3391043,0.6740182
0.029016018,1.0958413
0.399507,1.6706295
-0.009147763,0.90034336
0.06173718,0.9703666
-0.3948394,0.37285224
0.39499235,1.5348185
-0.4021117,0.72114825
0.40010494,1.6225497
0.49296314,1.6163976
-0.13025743,0.96169597
-0.3991971,0.5935664
0.34336734,1.3455328
0.044169366,1.1118181
0.1550991,1.0958596
0.040307462,1.0744505
0.31755394,1.5436759
-0.40289414,0.8400615
0.10338092,0.994202
-0.06534821,0.9003457
0.13103604,1.0495142
0.1856097,1.2590058
-0.38784623,0.80228645
0.2937532,1.2836665
-0.3456428,0.6638853
0.28091663,1.3231221
-0.27024388,0.683246
-0.38508892,0.7445522
0.04994309,1.1876768
0.48327404,1.6094332
-0.44521958,0.7542065
-0.16842955,0.75178367
0.046972275,0.8608434
-0.419065,0.74780446
0.29631788,1.2983828
-0.25019193,0.70358163
-0.31460166,0.6394512
0.23836166,1.3757714
-0.19648731,0.80703634
0.07105082,1.043079
-0.3678003,0.6556721
0.35496384,1.4889292
0.36770612,1.3771806
-0.25840735,0.87329906
-0.4553843,0.63059974
0.38289273,1.6058477
0.2888847,1.165592
-0.20777327,0.7951266
0.18070209,0.99641705
-0.41941822,0.85294867
7.516146e-05,0.8432643
0.3934638,1.4682232
-0.49254888,0.5005418
0.3605125,1.400786
0.23087806,1.4512798
-0.23987436,0.75227803
-0.37287855,0.8087872
-0.3544668,0.7386816
0.23680133,1.2564969
-0.37939602,0.66195184
-0.17402548,0.81294227
-0.44011444,0.6619659
-0.47787207,0.46919557
0.2554642,1.3701059
0.20555782,1.1702565
0.24584895,1.4985739
-0.24981475,0.8004633
0.4852196,1.6008658
0.38921505,1.4701351
